ID number,Date,Month,Year,Description of event,Type of event,Institutions or actors,UK jurisdiction,Special tag,Subject matter (general),Subject matter (specific),Source,...13,...14,...15
NA,24,July,2019,"The Secretary of State for Justice and Lord Chancellor, David Gauke MP, resigned.","Appointment, dismissal or resignation",Prime Minister; Ministry of Justice,UK,first reshuffle,Civil service and public sector reform,resignation,https://www.gov.uk/government/people/david-gauke,NA,NA,NA
NA,24,July,2019,David Lidington MP resigned as Chancellor of the Duchy of Lancaster and Minister of State in the Cabinet Office.,"Appointment, dismissal or resignation",Prime Minister; Cabinet Office,UK,first reshuffle,Civil service and public sector reform,resignation,https://www.gov.uk/government/people/david-lidington,NA,NA,NA
NA,24,July,2019,Michael Gove MP was appointed as Chancellor of the Duchy of Lancaster and Minister of State in the Cabinet Office by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Chancellor of the Duchy of Lancaster,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/michael-gove,NA,NA,NA
NA,24,July,2019,"Robert Jenrick MP was appointed as Secretary of State for Housing, Communities and Local Government by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Ministry of Housing, Communities and Local Government",UK; England,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/robert-jenrick,NA,NA,NA
NA,24,July,2019,Grant Shapps MP was appointed as Secretary of State for Transport by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for Transport,UK; England,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/grant-shapps,NA,NA,NA
NA,24,July,2019,Julian Smith MP was appointed as Secretary of State for Northern Ireland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Northern Ireland Office,UK; Northern Ireland,first reshuffle,Civil service and public sector reform; Devolution and the Union,ministerial appointments,https://www.gov.uk/government/people/julian-smith,NA,NA,NA
NA,24,July,2019,"Nicky Morgan MP was appointed as Secretary of State for Digital, Culture, Media and Sport by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Department for Digital, Culture, Media and Sport",UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/nicky-morgan,NA,NA,NA
NA,24,July,2019,Alok Sharma MP was appointed as Secretary of State for International Development by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for International Development,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/alok-sharma,NA,NA,NA
NA,24,July,2019,Alister Jack MP was appointed as Secretary of State for Scotland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Scotland Office,UK; Scotland,first reshuffle,Civil service and public sector reform; Devolution and the Union,ministerial appointments,https://www.gov.uk/government/people/alister-jack,NA,NA,NA
NA,24,July,2019,Elizabeth Truss MP was appointed as Secretary of State for International Trade by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for International Trade,UK,first reshuffle; Brexit,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/elizabeth-truss,NA,NA,NA
NA,24,July,2019,"Theresa Villiers MP was appointed as Secretary of State for the Environment, Food and Rural Affairs by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister; Department for the Environment,UK; England,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/theresa-villiers,NA,NA,NA
NA,24,July,2019,"Andrea Leadsom MP was appointed as Secretary of State for Business, Energy and Industrial Strategy by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister; Department for Business,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/andrea-leadsom,NA,NA,NA
NA,24,July,2019,Robert Buckland QC MP was appointed as Secretary of State for Justice and Lord Chancellor by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Ministry of Justice,UK; England and Wales,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/robert-buckland,NA,NA,NA
NA,24,July,2019,Caroline Nokes MP was dismissed as Immigration Minister by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Home Office,UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/caroline-nokes,NA,NA,NA
NA,24,July,2019,Penny Mordaunt MP was dismissed as Secretary of State for Defence by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Ministry of Defence,UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/penny-mordaunt,NA,NA,NA
NA,24,July,2019,Ben Wallace MP was appointed as Secretary of State for Defence by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Ministry of Defence,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/ben-wallace,NA,NA,NA
NA,24,July,2019,Liam Fox MP was dismissed as Secretary of State for International Trade by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for International Trade,UK,Brexit; first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/liam-fox,NA,NA,NA
NA,24,July,2019,Mel Stride MP was dismissed as Lord President of the Council and Leader of the House of Commons by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Leader of the House of Commons,UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/mel-stride,NA,NA,NA
NA,24,July,2019,Jacob Rees Mogg MP was appointed as Lord President of the Council and Leader of the House of Commons by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Leader of the House of Commons,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/jacob-rees-mogg,NA,NA,NA
NA,24,July,2019,Dominic Raab MP was appointed as First Secretary of State and Foreign Secretary by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Foreign Office,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/dominic-raab,NA,NA,NA
NA,24,July,2019,"Priti Patel MP was appointed as Home Secretary by the Prime Minister. This followed her dismissal by former Prime Minister, Theresa May MP, for breaching the ministerial code in relation to making unregistered unofficial visits to officials in the government of Israel during a family holiday.","Appointment, dismissal or resignation",Prime Minister; Home Office,UK,first reshuffle,"Civil service and public sector reform; Ethics, standards and integrity",ministerial appointments; ministerial code,https://www.gov.uk/government/people/priti-patel,NA,NA,NA
NA,24,July,2019,Sajid Javid MP was appointed as Chancellor of the Exchequer by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Treasury,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/sajid-javid,NA,NA,NA
NA,24,July,2019,"The Northern Ireland (Executive Formation etc) Act 2019 permitted the Secretary of State for Northern Ireland to make regulations concerning the recognition of same-sex marriage and opposite-sex civil partnerships in Northern Ireland, as well as make provision for the decriminalisation of abortion in Northern Ireland.",Primary legislation,Northern Ireland Office,Northern Ireland,None,Human rights and equality; Devolution and the Union,women and gender; abortion; criminal sanctions; Northern Ireland; Sewel convention; LGBT,https://www.legislation.gov.uk/ukpga/2019/22/introduction/enacted,NA,NA,NA
NA,24,July,2019,Munira Mirza was appointed as Director of the No. 10 Policy Unit by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister,UK,None,Civil service and public sector reform,special advisors,https://www.economist.com/britain/2019/08/22/the-downing-street-policy-unit-boris-johnsons-brain,NA,NA,NA
NA,25,July,2019,The House of Commons adjourned until 3 September 2019. The government declined to recall the House during this period despite calls from MPs of all parties to do so.,"Decision, announcement, statement or speech",Prime Minister,UK,Brexit,"Parliament; Ethics, standards and integrity","prorogation, dissolution, adjournment and recess; transparency; scrutiny; ministerial conduct; House of Commons; Speaker of the House of Commons",https://constitution-unit.com/2019/07/23/pressures-to-recall-parliament-over-brexit-during-the-summer-seem-likely-what-if-they-occur/,NA,NA,NA
NA,26,July,2019,Michael Ellis QC MP was appointed as Solicitor General by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Law Officers,UK; England,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/michael-ellis,NA,NA,NA
NA,30,July,2019,"Lee Cain, among those who spearheaded the Vote Leave campaign during the Brexit referendum in 2016, was appointed as No. 10's Director of Communications.","Appointment, dismissal or resignation",Prime Minister,UK,Brexit,Civil service and public sector reform,special advisors; communications,https://www.gloucestershirelive.co.uk/news/gloucester-news/lee-cain-boris-johnson-pm-3123643,NA,NA,NA
NA,30,July,2019,The Prime Minister created the role of Minister for the Union to be held ex officio by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister,UK,None,Devolution and the Union; Civil service and public sector reform,ministerial appointments; Union policy; UK relations,https://www.gov.uk/government/news/full-list-of-new-ministerial-and-government-appointments-july-2019,NA,NA,NA
NA,30,July,2019,The Prime Minister's completed Cabinet reshuffle produced the biggest change in ministers without a change in governing party since 1962.,"Appointment, dismissal or resignation",Prime Minister,UK,first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.independent.co.uk/news/uk/politics/boris-johnson-cabinet-reshuffle-ministers-brexit-a9019726.html,NA,NA,NA
NA,30,July,2019,"Following the Prime Minister's Cabinet reshuffle, it was reported that the new Cabinet had a disproportionate number of men and privately educated ministers compared to the general population. Equally, a record number of ethnic minority individuals were appointed and joined the Cabinet.","Appointment, dismissal or resignation",Prime Minister,UK,first reshuffle,Civil service and public sector reform; Human rights and equality,ministerial appointments; women and gender; race; protected characteristics,https://www.bbc.co.uk/news/uk-politics-49034735,NA,NA,NA
NA,NA,July,2019,"The Home Secretary, Priti Patel MP, sought permission for a consultancy at US defence firm, Viasat, from the Advisory Committee on Business Appointments (ACOBA) one month after her appointment to this role.","Appointment, dismissal or resignation",Home Office,UK,None,"Ethics, standards and integrity",ACOBA,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/821249/Priti_Patel_Viasat_letter.pdf,NA,NA,NA
NA,28,August,2019,The Prime Minister advised the Queen to prorogue Parliament no earlier than Monday 9 September 2019 and no later than Thursday 12 September 2019 to Monday 14th October 2019.,Royal prerogative,Prime Minister,UK,Prorogation of Parliament,"Parliament; Ethics, standards and integrity","prorogation, dissolution, adjournment and recess; ministerial conduct; scrutiny; transparency; House of Commons; House of Lords",https://privycouncil.independent.gov.uk/wp-content/uploads/2019/08/Orders-Approved.pdf,NA,NA,NA
NA,28,August,2019,The prorogation of Parliament was announced prior to the House of Commons returning from recess on 3 September 2019.,Royal prerogative,Prime Minister,UK,Prorogation of Parliament,"Parliament; Ethics, standards and integrity","prorogation, dissolution, adjournment and recess; ministerial conduct; scrutiny; transparency",https://www.bbc.co.uk/news/uk-politics-49493632,NA,NA,NA
NA,29,August,2019,Lord Young of Cookham resigned from the government in protest at the Prime Minister's decision to advise Her Majesty to prorogue Parliament.,"Appointment, dismissal or resignation",Whips,UK,Prorogation of Parliament,"Civil service and public sector reform; Ethics, standards and integrity","resignation; ministerial conduct; prorogation, dissolution, adjournment and recess; scrutiny; transparency",https://metro.co.uk/2019/08/29/lord-young-quits-tory-whip-boris-johnsons-prorogue-stance-10650446/,NA,NA,NA
NA,3,September,2019,The Conservative Party lost its majority in the House of Commons following the defection of Philip Lee MP to the Liberal Democrats.,"Appointment, dismissal or resignation",Prime Minister,UK,Brexit,Parliament,defection; House of Commons,https://www.independent.co.uk/news/uk/politics/philip-lee-tory-lib-dem-defection-boris-johnson-majority-brexit-commons-a9090356.html,NA,NA,NA
NA,4,September,2019,"The House of Commons held the second reading and committee stage of the European Union (Withdrawal) (No 6) Bill proposed by Hilary Benn MP. The Bill would require the Prime Minister to request an extension of the UK's Article 50 withdrawal timetable from the European Union, specifically from 31 October 2019 to 31 January 2020. The Bill required the Prime Minister to send a letter to the President of the European Council using a particular form of words.",Primary legislation,Prime Minister,UK,Brexit,Parliament; Rule of law,House of Commons; EU law,https://hansard.parliament.uk/commons/2019-09-04,NA,NA,NA
NA,4,September,2019,The Prime Minister sought an early general election through the Fixed-Term Parliaments Act 2011 but the motion failed in the House of Commons.,Parliamentary motion,Prime Minister,UK,Brexit,Parliament; Elections and voters,general election; Fixed-Term Parliaments Act 2011; House of Commons,https://hansard.parliament.uk/commons/2019-09-04/debates/C463A8E1-74BA-445A-ACEA-3AA4DF6C98FA/EarlyParliamentaryGeneralElection,NA,NA,NA
NA,4,September,2019,"During the motion for an early parliamentary general election under the Fixed-Term Parliaments Act 2011, the Prime Minister said three times that the Bill proposed earlier that day by Hilary Benn MP requiring the Prime Minister to seek an extension of the Article 50 timetable involved ""surrender"".",Parliamentary motion,Prime Minister,UK,Brexit,"Ethics, standards and integrity; Elections and voters",public rhetoric; general election; House of Commons; Fixed-Term Parliaments Act 2011,https://hansard.parliament.uk/commons/2019-09-04/debates/C463A8E1-74BA-445A-ACEA-3AA4DF6C98FA/EarlyParliamentaryGeneralElection,NA,NA,NA
NA,5,September,2019,"During his weekly setting out of House of Commons business, the Leader of the House of Commons referred to the Bill proposed by Hilary Benn MP requiring the Prime Minister to seek an extension of the UK's Article 50 timetable as the ""surrender Bill"".",Ministerial statement,Leader of the House of Commons,UK,Brexit,"Ethics, standards and integrity; Parliament",public rhetoric; ministerial conduct,https://hansard.parliament.uk/commons/2019-09-05/debates/8BA285E9-02C2-40B7-B97C-C546D527A6B3/BusinessOfTheHouse,NA,NA,NA
NA,5,September,2019,"During a public event, the Prime Minister commented that he would ""rather be dead in a ditch"" than request an extension to the UK's withdrawal from the European Union.","Decision, announcement, statement or speech",Prime Minister,UK,Brexit,"Ethics, standards and integrity; Parliament",public rhetoric,https://www.bbc.co.uk/news/av/uk-politics-49601128,NA,NA,NA
NA,5,September,2019,"The Prime Minister withdrew the Conservative whip from 21 MPs following their vote to allow parliamentary time for the European Union (Withdrawal) (No 6) Act 2019, which required the Prime Minister to request an extension to the Article 50 EU withdrawal timetable until 31 January 2021 instead of 31 October 2019.","Appointment, dismissal or resignation",Prime Minister; Whips,UK,Brexit,"Parliament; Ethics, standards and integrity; Rule of law",party discipline and whip system; House of Commons; EU law,https://www.bbc.co.uk/news/uk-politics-49563357,NA,NA,NA
NA,5,September,2019,"The Prime Minister's brother, Jo Johnson MP, resigned as a Member of Parliament and as a Minister.","Appointment, dismissal or resignation",Prime Minister,UK,Brexit,Parliament; Civil service and public sector reform,resignation; House of Commons,https://www.bbc.co.uk/news/uk-politics-49594793,NA,NA,NA
NA,8,September,2019,"Amber Rudd MP, Secretary of State for Work and Pensions, resigned from the government in protest at the Prime Minister's decision to withdraw the Conservative whip from 21 MPs who vote to allow parliamentary time for the European Union (Withdrawal) (No 6) Act 2019.","Appointment, dismissal or resignation",Department for Work and Pensions; Prime Minister,UK,Brexit,Civil service and public sector reform,resignation; party discipline and whip system,https://www.gov.uk/government/people/amber-rudd,NA,NA,NA
NA,8,September,2019,Therese Coffey MP was appointed as Secretary of State for Work and Pensions by the Prime Minister following the resignation of Amber Rudd MP.,"Appointment, dismissal or resignation",Department for Work and Pensions; Prime Minister,UK,Brexit,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/therese-coffey,NA,NA,NA
NA,9,September,2019,"The European Union (Withdrawal) (No. 2) Act 2019, which required the Prime Minister to request an extension of the UK's Article 50 timetable from the President of the European Council received royal assent.",Primary legislation,Prime Minister,UK,Brexit,Parliament; Rule of law,EU law,https://www.legislation.gov.uk/ukpga/2019/26/contents/enacted,NA,NA,NA
NA,9,September,2019,"The Leader of the Opposition, Jeremy Corbyn MP, sought an emergency debate from the Speaker of the House of Commons on the rule of law and the European Union (Withdrawal) (No 2) Act 2019, namely on the government's obligation to comply with the Act. The Speaker granted the request for an emergency debate.",Parliamentary motion,Prime Minister,UK,Brexit,Parliament; Rule of law,House of Commons; Speaker of the House of Commons; government under law; EU law,https://hansard.parliament.uk/commons/2019-09-09/debates/DD051445-BABC-4BA6-9BB2-CF88F1921371/EuropeanUnion(Withdrawal)(No2)Act2019(RuleOfLaw),NA,NA,NA
NA,9,September,2019,"For the second time in the space of a week, the Prime Minister sought an early general election through the Fixed-Term Parliaments Act 2011 but the motion failed in the House of Commons.",Parliamentary motion,Prime Minister,UK,Brexit,Parliament; Elections and voters,general election; Fixed-Term Parliaments Act 2011; House of Commons,https://hansard.parliament.uk/commons/2019-09-09/debates/44BDF5ED-3C22-40B5-AAD8-1EA95DED732C/EarlyParliamentaryGeneralElection(No2),NA,NA,NA
NA,9,September,2019,"During his motion seeking an early general election, the Prime Minister referred to the European Union (Withdrawal) (No 2) Act 2019 which required him to seek an extension of the UK timetable to withdraw from the EU as the ""surrender Act"".",Parliamentary motion,Prime Minister,UK,Brexit,"Elections and voters; Parliament; Ethics, standards and integrity",public rhetoric; House of Commons; general election; Fixed-Term Parliaments Act 2011,https://hansard.parliament.uk/commons/2019-09-09/debates/44BDF5ED-3C22-40B5-AAD8-1EA95DED732C/EarlyParliamentaryGeneralElection(No2),NA,NA,NA
NA,9,September,2019,The House of Commons passed a humble address requiring the government to publish documents related to Operation Yellowhammer concerning the government's no-deal Brexit worst case scenario planning options and documents related to the prorogation of Parliament.,Parliamentary motion,Prime Minister,UK,Brexit,Parliament,House of Commons; humble address,https://hansard.parliament.uk/commons/2019-09-09/debates/ACF1C7B2-087F-46D2-AB69-3520C0675BC8/Prorogation(DisclosureOfCommunications),NA,NA,NA
NA,9,September,2019,"Parliament was prorogued. When Black Rod came to summon the House of Commons to hear the Royal Commission for proroguing Parliament, the Speaker stated in the House: “This is not, however, a normal Prorogation. It is not typical. It is not standard. It is one of the longest for decades, and it represents, not just in the minds of many colleagues but for huge numbers of people outside an act of executive fiat.”",Parliamentary motion,Prime Minister,UK,Prorogation of Parliament,"Parliament; Ethics, standards and integrity","House of Commons; prorogation, dissolution, adjournment and recess; Speaker of the House of Commons; ministerial conduct; scrutiny; transparency",https://commonslibrary.parliament.uk/decision-of-the-supreme-court-on-the-prorogation-of-parliament/,NA,NA,NA
NA,24,September,2019,The UK Supreme Court ruled that the Prime Minister unlawfully advised Her Majesty to prorogue Parliament on 28 August 2019.,Case,Prime Minister,UK,Prorogation of Parliament,"Courts; Rule of law; Parliament; Ethics, standards and integrity","judicial review; cases; Supreme Court; government under law; prorogation, dissolution, adjournment and recess; ministerial conduct; scrutiny; transparency",https://www.supremecourt.uk/cases/docs/uksc-2019-0192-judgment.pdf,NA,NA,NA
NA,25,September,2019,"The then Attorney-General, Geoffrey Cox QC MP, made a statement to the House of Commons on legal advice related to the unlawful prorogation of Parliament. He made a number of controversial comments, including that the House of Commons had ""no moral right to sit"", ""this is a dead Parliament"", and ""this Parliament is a disgrace"".",Ministerial statement,Law Officers,UK,Prorogation of Parliament,"Parliament; Ethics, standards and integrity",public rhetoric; ministerial conduct; House of Commons,https://hansard.parliament.uk/Commons/2019-09-25/debates/F3541B98-D4E9-487F-BE17-D51C6EF870F2/LegalAdviceProrogation,NA,NA,NA
NA,25,September,2019,"In a statement to the House of Commons, the Prime Minister described as ""humbug"" the concerns of some members of Parliament regarding his public rhetoric on Brexit. The Prime Minister also referred to the European Union (Withdrawal) (No. 2) Act 2019 as the ""surrender Act"" at least seventeen times.",Ministerial statement,Prime Minister,UK,Brexit; Prorogation of Parliament,"Parliament; Ethics, standards and integrity",public rhetoric; ministerial conduct; House of Commons,https://hansard.parliament.uk/commons/2019-09-25/debates/AD2A07E5-9741-4EBA-997A-97776F80AA38/PrimeMinisterSUpdate,NA,NA,NA
NA,25,September,2019,"Following the decision of the Supreme Court that Parliament had been unlawfully prorogued, the Speaker of the House Commons determined that Her Majesty would need to re-signify her assent to an Act of Parliament which had received royal assent as part of the royal commission appointed under the quashed Order in Council.","Decision, announcement, statement or speech",Speaker of the House of Commons,UK,Prorogation of Parliament,Parliament; Rule of law,Speaker of the House of Commons,https://hansard.parliament.uk/commons/2019-09-25/debates/E477D91B-BF03-4F14-947D-09C6C4B3A0DC/Speaker%E2%80%99SStatement,NA,NA,NA
NA,26,September,2019,"The Speaker of the House of Commons made a statement noting that there ""was an atmosphere in the Chamber [yesterday] worse than any I have known in my 22 years in the House. On both sides, passions were inflamed, angry words were uttered and the culture was toxic."" He called on MPs to ""please to lower the decibel level and to try to treat each other as opponents, not as enemies.""","Decision, announcement, statement or speech",Speaker of the House of Commons,UK,Brexit; Prorogation of Parliament,Parliament,Speaker of the House of Commons; public rhetoric; House of Commons,https://hansard.parliament.uk/commons/2019-09-26/debates/D060074D-57F5-4B13-A5CE-B59A2EAC221A/SpeakerSStatement,NA,NA,NA
NA,26,September,2019,"Following an urgent question related to ministerial compliance with the European Union (Withdrawal) (No 2) Act 2019, the Parliamentary Undersecretary of State for Exiting the European Union commented that ""the Government will obey the law"".",Ministerial statement,Department for Exiting the European Union,UK,Brexit,Parliament; Rule of law,public rhetoric; government under law; EU law,https://hansard.parliament.uk/commons/2019-09-26/debates/4BFC992D-7B89-467B-9042-0B8345943D39/ComplianceWithTheEuropeanUnion(Withdrawal)(No2)Act2019,NA,NA,NA
NA,26,September,2019,The Speaker of the House of Commons granted an urgent question related to the Prime Minister's role in creating a safe environment in the country and in Parliament.,"Decision, announcement, statement or speech",Prime Minister,UK,Brexit,"Parliament; Ethics, standards and integrity",public rhetoric; House of Commons; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2019-09-26/debates/B7A6C9A8-DCA4-4599-8698-340BF500CE5D/PrimeMinisterSRoleInCreatingASafeEnvironment,NA,NA,NA
NA,26,September,2019,The House of Commons rejected a motion that it should go into recess for the party conference period.,Parliamentary motion,House of Commons,UK,Brexit,Parliament,"prorogation, dissolution, adjournment and recess; House of Commons",https://hansard.parliament.uk/commons/2019-09-26/debates/A110EB37-589B-47D6-8D88-CDA347BF8174/ADJOURNMENT(CONFERENCE),NA,NA,NA
NA,2,October,2019,The Prime Minister released an explanatory note explaining what reforms the government was seeking to the Northern Ireland Protocol.,Policy paper,Prime Minister,UK; Northern Ireland,Brexit,Devolution and the Union; Rule of law,Northern Ireland; Northern Ireland Protocol; international law; EU law,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/836116/Explanatory_Note_Accessible.pdf,NA,NA,NA
NA,3,October,2019,The Prime Minister made a statement to the House of Commons regarding what changes the government was seeking to the Northern Ireland Protocol. This included making any joint regulatory area on the island of Ireland subject to four yearly approval by the executive and Assembly of Northern Ireland.,Ministerial statement,Prime Minister,UK; Northern Ireland,Brexit,Devolution and the Union; Rule of law,Northern Ireland; Northern Ireland Protocol; international law; EU law,https://hansard.parliament.uk/commons/2019-10-03/debates/585F872D-9372-4448-A32F-5CEC0FD49FB7/BrexitNegotiations,NA,NA,NA
NA,8,October,2019,"The Census (Return Particulars and Removal of Penalties) Act 2019 received royal assent, which provides for voluntary questions on sexual orientation and gender identity to be asked in the England and Wales and Northern Ireland censuses. It does this by removing the criminal penalty for not responding to questions on these matters.",Primary legislation,Cabinet Office; Northern Ireland Office,England and Wales; Northern Ireland,None,Devolution and the Union; Human rights and equality,England; Wales; Northern Ireland; LGBT; criminal sanctions,https://www.legislation.gov.uk/ukpga/2019/28/contents,NA,NA,NA
NA,8,October,2019,"The Parliamentary Buildings (Restoration and Renewal) Act 2019 received royal assent, which provides for the establishment of a Sponsor Body and Delivery Authority tasked with planning and completing the restoration and renewal of the Palace of Westminster.",Primary legislation,Cabinet Office,UK,None,Parliament; Civil service and public sector reform,restoration and renewal; new public bodies,https://www.legislation.gov.uk/ukpga/2019/27/contents,NA,NA,NA
NA,17,October,2019,The UK and EU reached an amended Withdrawal Agreement and Political Declaration. This Agreement has constitutional implications for the UK in that it may create an internal border in the Irish Sea between mainland Britain and Northern Ireland.,International treaty,Prime Minister,UK; Northern Ireland,Brexit,Devolution and the Union; Rule of law,Northern Ireland; Northern Ireland Protocol; international law; EU law,https://www.gov.uk/government/publications/new-withdrawal-agreement-and-political-declaration,NA,NA,NA
